symbol,name,exchange
^NQCASCAUD,NASDAQ Canada Small Cap AUD Ind,
SFC14Y.SW,SBI For Corp AAA-BBB Y,EBS
ST171Y.SW,SBI AAA 7-10 Y,EBS
^NQAULCGBPT,NASDAQ Australia Large Cap GBP,
^NQUSL2795GBP,NQ US Lg Cap Financial Admin GB,
^NQUSS2700AUDN,NQ US Sm Cap Ind Goods & Svcs A,
DF28.DE,INAVISHFIGOVBDUCHF,GER
^B50ADRT,Dow Jones BRIC 50 All DR Total,DJI
SDA15D.SW,SBI Dom AAA-A 1-5 D,EBS
4N9U.DE,DAXSUB ALL RETI P,GER
^NQKRSCAUDT,NASDAQ Korea Small Cap AUD TR I,
^NQUSS5751AUDN,NQ US Sm Cap Airlines AUD NTR I,
D1A8.DE,DAXPLUS PROTECTIVE PUT PR,GER
^NQDMEU9000AUDT,NASDAQ DM Europe Tech AUD TR In,
^FIRSTNORTHNOK,First North All-Share NOK,
539M.DE,,
^NQZASCGBP,NASDAQ South Africa Small Cap G,
^NQLA4000CAD,NASDAQ Lat America Health Care,
^NQPHAUD,NASDAQ Philippines AUD Index,
31651230.SG,,
^NQNAEUR,NASDAQ N America EUR Index,
^NQGBAUDT,NASDAQ UK AUD TR Index,
^RAESGDN,Russell Australia ESG High Divi,WCB
3BLU.DE,IN.IS.FTSE 250 EO,GER
^NQNA3500AUDT,NASDAQ N America Food & Beverag,
^NQEMASIA8000EUR,NASDAQ EM Asia Financials EUR I,
4QCE.DE,INAVISHEMMARSCEU,GER
^NQASPA3300EUR,NASDAQ ASPA Auto & Parts EUR In,
^NQUSB2713GBPT,NQ US Bnchmk Aerospace GBP TR I,
SXP2V.Z,,
4NAR.DE,SHORTDAX X4 ST I EU,GER
WIPACXJA3720.FGI,,
5EDS.DE,INAVISMSCIEUUAGBP,GER
^NQDMASPA6000T,The NASDAQ DM ASPA Telecommunic,
LZS5.DE,INAV DBX MSCI JAPAN USD,GER
SFG5D.SW,SBI FOR GOV AAA-A 5+ D,EBS
X2D6.DE,INAV CSFCHA50 GBP,GER
^UKDATR,Mergent UK Dividend Achievers I,
^NQNA3000LMJPYN,NASDAQ N America Cnsmr Goods Lg,
^NQUSS5555AUDN,NQ US Sm Cap Media Agncs AUD NT,
X22M.DE,INAV ISH GHYCBCHGB,GER
^NQEMMEA4000AUD,NASDAQ EM MEA Health Care AUD I,
^NQASPA2700LM,NASDAQ ASPA Ind Goods & Svcs Lg,
^NQCO8000AUDN,NASDAQ Colombia Financials AUD,
^NQNA1700JPYN,NASDAQ N America Basic Resource,
^NQUSS2713EUR,NQ US Sm Cap Aerospace EUR Inde,
^NQNA1700LMCADT,NASDAQ N America Basic Resource,
^NQDMASIA5700LMT,NASDAQ DM Asia Travel & Leisure,
^NQAU6000AUD,NASDAQ Australia Telecom AUD In,
^NQKRLCAUDT,NASDAQ Korea Large Cap AUD TR I,
^NQUSS0001AUD,NQ US Sm Cap Oil & Gas AUD Inde,
^DAAXJPHKDN,NASDAQ Asia ex Japan Dividend A,
^NQASPAMCEURT,NASDAQ ASPA Mid Cap EUR TR Inde,
^NQEMASIA8500N,The NASDAQ EM Asia Insurance In,
